ID;TTW;FeedMode;T_SP;Total Rich;Total Lean;O2 rich;CO rich;CO2 rich;NO rich;NO2 rich;NH3 rich;N2O rich;H2 rich;SO2 rich;C2H4 rich;C3H6 rich;C3H8 rich;CH4 rich;H2O rich;O2 lean;CO lean;CO2 lean;NO lean;NO2 lean;NH3 lean;N2O lean;H2 lean;SO2 lean;C2H4 lean;C3H6 lean;C3H8 lean;CH4 lean;H2O lean
42;200;3;386.99;26.28279;0;0;0.537018691;16.18341279;0.096169835;0;0;0;0;0;0;0.095524075;0;0;14.20969;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;200;3;385.72;41.49209;0;0;0.705390813;16.11435609;0.114149692;0;0;0;0;0;0;0.098182733;0;0;14.24541;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;200;3;384.76;53.9293;0;0.245991522;0.838228019;16.06377589;0.132828721;0;0;0;0;0;0;0.100798458;0;0;14.27607;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;200;3;383.49;79.79721;0;0.294967447;0.911632007;16.03549006;0.152331088;0;0;0;0;0;0;0.103225054;0;0;14.29261;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;200;3;382.54;87.92744;0;0.371253452;0.930511835;16.03946467;0.172415201;0;0;0;0;0;0;0.105451924;0;0;14.30512;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;200;3;381.59;100.8512;0;0;0.932245523;16.0780934;0.191966136;0;0;0;0;0;0;0.107627995;0;0;14.33437;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;200;3;380.32;106.5298;0;0;0.944143082;16.11909447;0.209451182;0;0;0;0;0;0;0.109780391;0;0;14.3705;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;200;3;379.68;110.8312;0;1.087266596;0.941997217;16.15206151;0.224737844;0;0;0;0;0;0;0.111690118;0;0;14.39359;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;200;3;378.41;124.667;0;0.486420052;0.909542482;16.18357719;0.236608195;0;0;0;0;0;0;0.113091231;0;0;14.40026;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;200;3;376.83;132.2665;0;0;0.873205863;16.22307298;0.245484215;0;0;0;0;0;0;0.113690149;0;0;14.41079;0;0;0;0;0;0;0;0;0;0;0;0;0;0
